epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.737,1.93582,5.55759,0.00524,0.73999,0.32101,0.46647,0.22071,1.52686,4.43124,0.00726,0.00055011,0.00055011,0.00055011
2,783.538,2.00459,3.44239,0.00568,0.41641,0.38272,0.26877,0.14142,1.8307,3.50879,0.00898,0.00108388,0.00108388,0.00108388
3,1198.76,1.9723,2.40432,0.00537,0.54076,0.37149,0.40178,0.19784,2.04186,3.0187,0.01162,0.00159565,0.00159565,0.00159565
4,1608.95,2.07953,2.00052,0.00598,0.52068,0.37598,0.38022,0.20397,1.95717,2.68763,0.01012,0.00156798,0.00156798,0.00156798
5,2012.37,2.01878,1.55157,0.00584,0.57465,0.39899,0.40773,0.20261,2.17169,2.55436,0.01331,0.00153497,0.00153497,0.00153497
6,2417.61,1.96089,1.35091,0.00623,0.52984,0.4349,0.36585,0.18723,2.06488,2.47362,0.01156,0.00150197,0.00150197,0.00150197
7,2812.1,1.97316,1.23215,0.00573,0.52156,0.45398,0.39234,0.22283,1.86752,2.14862,0.01015,0.00146896,0.00146896,0.00146896
8,3202.14,1.92113,1.17691,0.00527,0.59085,0.42424,0.44326,0.19576,2.32823,2.49427,0.01376,0.00143595,0.00143595,0.00143595
9,3592.13,1.91979,1.13892,0.00544,0.37848,0.26431,0.23055,0.11599,2.00907,2.51593,0.01076,0.00140295,0.00140295,0.00140295
10,3978.96,1.88027,1.0805,0.00484,0.68545,0.54172,0.53604,0.28841,2.10561,2.0069,0.01182,0.00136994,0.00136994,0.00136994
